ts,id_orig_h,id_resp_h,id_resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state
2025-01-15T10:00:01Z,10.0.1.15,172.16.5.20,80,tcp,http,1.2,450,2200,SF
2025-01-15T10:00:03Z,10.0.1.15,172.16.5.21,443,tcp,ssl,0.9,600,3400,SF
2025-01-15T10:01:10Z,10.0.1.22,198.51.100.10,443,tcp,ssl,4.5,1200,9800,SF
2025-01-15T10:02:10Z,10.0.1.22,198.51.100.10,443,tcp,ssl,4.4,1190,9700,SF
2025-01-15T10:03:10Z,10.0.1.22,198.51.100.10,443,tcp,ssl,4.6,1210,9900,SF
2025-01-15T10:04:10Z,10.0.1.22,198.51.100.10,443,tcp,ssl,4.5,1180,9650,SF
2025-01-15T10:05:10Z,10.0.1.22,198.51.100.10,443,tcp,ssl,4.7,1220,10000,SF
2025-01-15T10:06:01Z,10.0.1.44,203.0.113.50,22,tcp,ssh,0.1,60,0,REJ
2025-01-15T10:06:02Z,10.0.1.44,203.0.113.51,22,tcp,ssh,0.1,60,0,REJ
2025-01-15T10:06:03Z,10.0.1.44,203.0.113.52,22,tcp,ssh,0.1,60,0,REJ
2025-01-15T10:06:04Z,10.0.1.44,203.0.113.53,22,tcp,ssh,0.1,60,0,REJ
2025-01-15T10:06:05Z,10.0.1.44,203.0.113.54,22,tcp,ssh,0.1,60,0,REJ
2025-01-15T10:06:06Z,10.0.1.44,203.0.113.55,22,tcp,ssh,0.1,60,0,REJ
2025-01-15T10:06:07Z,10.0.1.44,203.0.113.56,3389,tcp,rdp,0.1,60,0,REJ
2025-01-15T10:06:08Z,10.0.1.44,203.0.113.57,3389,tcp,rdp,0.1,60,0,REJ
2025-01-15T10:07:30Z,10.0.1.80,192.0.2.99,4444,tcp,unknown,30.5,90000,1200,SF
2025-01-15T10:09:30Z,10.0.1.80,192.0.2.99,4444,tcp,unknown,29.8,88000,1100,SF
2025-01-15T10:11:30Z,10.0.1.80,192.0.2.99,4444,tcp,unknown,31.0,91000,1300,SF
2025-01-15T10:13:30Z,10.0.1.80,192.0.2.99,4444,tcp,unknown,30.2,89500,1250,SF
2025-01-15T10:15:30Z,10.0.1.80,192.0.2.99,4444,tcp,unknown,30.1,90200,1225,SF
