indicator,type,source,first_seen,notes,normalized_indicator,domain,risk_score,reasons,threat_theme,priority
http://secure-payroll-update.net/session,url,email_gateway,2025-01-19,Payroll lure URL,secure-payroll-update.net/session,secure-payroll-update.net,90,contains suspicious term: secure; contains suspicious term: payroll; contains suspicious term: update; contains suspicious term: session; multiple hyphens in hostname/path; credential-themed URL path; high-value source: email_gateway,credential phishing,high
44d88612fea8a8f36de82e1278abb02f,hash,edr,2025-01-20,Known EICAR-style test hash used as malware placeholder,44d88612fea8a8f36de82e1278abb02f,,65,file hash observed by endpoint telemetry; known EICAR-style test hash placeholder; high-value source: edr,malware/file analysis,medium
http://malicious-login-support.com/login,url,email_gateway,2025-01-19,Phishing URL embedded in email,malicious-login-support.com/login,malicious-login-support.com,65,contains suspicious term: login; contains suspicious term: support; multiple hyphens in hostname/path; credential-themed URL path; high-value source: email_gateway,credential phishing,medium
secure-payroll-update.net,domain,email_gateway,2025-01-19,Credential harvesting theme,secure-payroll-update.net,secure-payroll-update.net,65,contains suspicious term: secure; contains suspicious term: payroll; contains suspicious term: update; multiple hyphens in hostname/path; high-value source: email_gateway,credential phishing,medium
malicious-login-support.com,domain,email_gateway,2025-01-19,Lookalike login domain from phishing email,malicious-login-support.com,malicious-login-support.com,50,contains suspicious term: login; contains suspicious term: support; multiple hyphens in hostname/path; high-value source: email_gateway,credential phishing,medium
275a021bbfb6489e54d471899f7db9d1,hash,edr,2025-01-20,Unknown executable hash from downloads folder,275a021bbfb6489e54d471899f7db9d1,,35,file hash observed by endpoint telemetry; high-value source: edr,malware/file analysis,low
192.0.2.44,ip,email_gateway,2025-01-18,Documentation/test IP observed in suspicious attachment sandbox,192.0.2.44,,15,documentation-range IP used in sample data; high-value source: email_gateway,network infrastructure,low
185.199.108.153,ip,proxy_logs,2025-01-18,Repeated outbound HTTPS connections,185.199.108.153,,10,external IP observed in logs,network infrastructure,low
203.0.113.77,ip,firewall,2025-01-19,Blocked outbound connection from workstation VLAN,203.0.113.77,,5,documentation-range IP used in sample data,network infrastructure,low
cdn-images.example.com,domain,proxy_logs,2025-01-20,Benign-looking CDN-style hostname,cdn-images.example.com,cdn-images.example.com,0,,unknown,low
